['苏州', '上海坤亿信息技术有限公司', '150-500人', '本科', 'python开发', '全职', '8k-10k', '3-5年']
['深圳', '深信服科技股份有限公司', '2000人以上', '不限', 'python开发', '全职', '16k-32k', '不限']
['上海', '舶乐蜜电子商务（上海）有限公司', '150-500人', '本科', 'Python开发工程师', '全职', '13k-19k', '1-3年']
['上海', '广东省电信规划设计院有限公司', '2000人以上', '本科', 'Python开发工程师', '全职', '10k-15k', '1-3年']
['北京', '因诺（上海）资产管理有限公司', '15-50人', '硕士', 'Python开发工程师', '全职', '15k-20k', '1-3年']
['长沙', '深圳市赢时胜信息技术股份有限公司', '500-2000人', '本科', 'python开发工程师', '全职', '8k-12k', '3-5年']
['杭州', '上海吸引子信息科技有限公司', '15-50人', '本科', 'python开发工程师', '全职', '10k-20k', '不限']
['武汉', '湖北百旺金赋科技有限公司', '150-500人', '本科', 'python开发', '全职', '6k-8k', '1-3年']
['上海', '上海微创软件股份有限公司', '2000人以上', '本科', 'python开发', '全职', '12k-17k', '3-5年']
['苏州', '上海微创软件股份有限公司', '2000人以上', '本科', 'python开发', '全职', '15k-25k', '3-5年']
['杭州', '易宝软件科技（南京）有限公司', '150-500人', '本科', 'python开发工程师', '全职', '8k-16k', '3-5年']
['杭州', '易宝软件科技（南京）有限公司', '150-500人', '本科', 'python', '全职', '10k-18k', '1-3年']
['上海', 'TCL实业控股股份有限公司', '2000人以上', '本科', 'PYTHON开发工程师', '全职', '13k-25k', '不限']
['深圳', 'TCL实业控股股份有限公司', '2000人以上', '本科', 'PYTHON开发工程师', '全职', '13k-25k', '不限']
['上海', '达而观信息科技（上海）有限公司', '150-500人', '本科', 'python开发', '全职', '15k-30k', '3-5年']
['北京', '北京米可世界科技有限公司', '150-500人', '本科', 'python开发工程师', '全职', '12k-20k', '1-3年']
['上海', '上海走走信息科技有限公司', '15-50人', '本科', 'python开发', '全职', '20k-40k', '3-5年']
['上海', '上海中软华腾软件系统有限公司', '2000人以上', '本科', 'python开发', '全职', '9k-18k', '1-3年']
['上海', '达而观信息科技（上海）有限公司', '150-500人', '本科', 'Python开发工程师', '全职', '15k-30k', '3-5年']
['上海', '北京市商汤科技开发有限公司', '2000人以上', '本科', 'Python开发工程师', '全职', '20k-35k', '3-5年']
['深圳', '佳兆业投资咨询（深圳）有限公司', '50-150人', '本科', 'Python开发工程师', '全职', '20k-35k', '3-5年']
['北京', '深圳市金证科技股份有限公司', '2000人以上', '本科', 'python开发', '全职', '18k-35k', '5-10年']
['北京', '北京嘉和美康信息技术有限公司', '500-2000人', '本科', 'python开发工程师', '全职', '18k-25k', '5-10年']
['成都', '成都无糖信息技术有限公司', '50-150人', '不限', 'python开发工程师', '全职', '8k-15k', '不限']
['上海', '上海大智慧股份有限公司', '500-2000人', '大专', 'Python开发工程师', '全职', '10k-20k', '1-3年']
['深圳', '华为技术有限公司', '2000人以上', '本科', 'python开发', '全职', '15k-30k', '3-5年']
['深圳', '深信服科技股份有限公司', '2000人以上', '本科', 'python开发工程师', '全职', '14k-28k', '不限']
['上海', '深圳平安综合金融服务有限公司', '2000人以上', '本科', 'Python开发工程师', '全职', '15k-30k', '3-5年']
['深圳', '深信服科技股份有限公司', '2000人以上', '本科', 'python开发工程师', '全职', '11k-22k', '不限']
['深圳', '深圳市光逸科技创新有限公司', '50-150人', '本科', 'Python开发工程师', '全职', '15k-20k', '1-3年']
['北京', '成都妍丹信息科技有限公司', '50-150人', '本科', 'python', '全职', '25k-40k', '3-5年']
['北京', '北京缔联科技有限公司', '50-150人', '大专', 'python', '全职', '15k-30k', '3-5年']
['成都', '微慕客（成都）科技有限公司', '50-150人', '本科', 'python开发工程师', '全职', '8k-12k', '1-3年']
['北京', '北京金山云网络技术有限公司', '2000人以上', '本科', 'python开发工程师', '全职', '20k-40k', '3-5年']
